Name,Source,Hex,R,G,B,H,S%,L%,OKLCH-L,OKLCH-C,OKLCH-H,Display P3
shadcn-dark--card,shadcn-dark,#171717,23,23,23,0,0,9,0.2046,0,89.876,color(display-p3 0.0902 0.0902 0.0902)
shadcn-dark--primary,shadcn-dark,#E5E5E5,229,229,229,0,0,90,0.9219,0,89.876,color(display-p3 0.8981 0.8980 0.8980)
shadcn-dark--primary-foreground,shadcn-dark,#171717,23,23,23,0,0,9,0.2046,0,89.876,color(display-p3 0.0902 0.0902 0.0902)
shadcn-dark--secondary,shadcn-dark,#262626,38,38,38,0,0,15,0.2686,0,89.876,color(display-p3 0.1490 0.1490 0.1490)
shadcn-dark--muted,shadcn-dark,#262626,38,38,38,0,0,15,0.2686,0,89.876,color(display-p3 0.1490 0.1490 0.1490)
shadcn-dark--muted-foreground,shadcn-dark,#A1A1A1,161,161,161,0,0,63,0.709,0,89.876,color(display-p3 0.6314 0.6314 0.6313)
shadcn-dark--accent,shadcn-dark,#262626,38,38,38,0,0,15,0.2686,0,89.876,color(display-p3 0.1490 0.1490 0.1490)
shadcn-dark--destructive,shadcn-dark,#FF6467,255,100,103,359,100,70,0.7022,0.1892,22.228,color(display-p3 0.9286 0.4320 0.4233)
shadcn-dark--ring,shadcn-dark,#737373,115,115,115,0,0,45,0.5555,0,89.876,color(display-p3 0.4510 0.4510 0.4509)
shadcn-dark--sidebar-primary,shadcn-dark,#1447E6,20,71,230,225,84,49,0.4878,0.2432,264.405,color(display-p3 0.1379 0.2743 0.8677)
