Icon Name,Old Icon Name,Total Occurrences,Unique Files,Import Count
Target,TargetIcon,47,16,2
VisibleFill,VisibleFillIcon,47,15,4
ListClear,ListClearIcon,47,15,0
ZoomIn,zoomInIcon,46,17,4
Binary,binaryIcon,46,17,0
BracketsSquare,BracketsSquareIcon,46,17,0
FolderCube,FolderCubeIcon,46,16,2
FaceFrown,FaceFrownIcon,46,15,3
Redo,redoIcon,46,15,3
Decimal,DecimalIcon,46,15,0
ChevronDoubleLeft,chevronDoubleLeftIcon,45,16,2
CloudDatabase,CloudDatabaseIcon,45,16,0
CheckCircleBadge,CheckCircleBadgeIcon,45,15,0
PencilSparkle,PencilSparkleIcon,44,16,1
BarGrouped,BarGroupedIcon,44,15,2
ForkHorizontal,ForkHorizontalIcon,44,15,2
CloudUpload,cloudUploadIcon,44,15,1
LayerGraph,LayerGraphIcon,44,15,0
TableView,TableViewIcon,44,14,3
PipelineCode,PipelineCodeIcon,44,14,0
CreditCard,CreditCardIcon,43,17,1
CloudKey,CloudKeyIcon,43,15,2
Text,TextIcon,43,14,1
Gift,giftIcon,42,15,4
Loop,LoopIcon,42,15,3
UserBadge,userBadgeIcon,42,15,3
ReaderMode,readerModeIcon,42,15,2
Shortcut,ShortcutIcon,42,15,1
SpeechBubbleQuestionMark,SpeechBubbleQuestionMarkIcon,42,15,0
CatalogGear,CatalogGearIcon,42,12,0
Run,RunIcon,41,15,4
NewChat,NewChatIcon,41,15,3
Moon,MoonIcon,41,15,1
Sun,SunIcon,41,15,1
ArrowOver,ArrowOverIcon,41,14,0
Float,FloatIcon,41,14,0
PlayDouble,PlayDoubleIcon,41,11,0
CloudOff,cloudOffIcon,40,14,2
PageLast,pageLastIcon,40,14,2
ZoomOut,zoomOutIcon,40,14,2
ZoomToFit,ZoomToFitIcon,40,14,2
FolderNew,FolderNewIcon,40,14,1
Markdown,MarkdownIcon,40,14,1
Rows,RowsIcon,40,14,1
ChevronDoubleUp,chevronDoubleUpIcon,40,14,0
NotebookPipeline,NotebookPipelineIcon,40,14,0
PlusMinusSquare,PlusMinusSquareIcon,40,14,0
TableLightning,TableLightningIcon,40,14,0
CatalogOff,CatalogOffIcon,40,12,0
FileNew,FileNewIcon,40,12,0
ChevronDoubleDown,chevronDouble-downIcon,39,14,1
TableGlobe,TableGlobeIcon,39,13,1
ArrowUpDot,ArrowUpDotIcon,39,13,0
RefreshPlay,RefreshPlayIcon,39,13,0
FaceSmile,FaceSmileIcon,39,12,0
At,AtIcon,38,13,2
Bold,boldIcon,38,13,2
Italic,italicIcon,38,13,2
PieChart,PieChartIcon,38,13,2
PipelineCube,PipelineCubeIcon,38,13,2
School,schoolIcon,38,13,2
BadgeCode,BadgeCodeIcon,38,13,1
CatalogCloud,CatalogCloudIcon,38,13,1
FolderOpenPipeline,FolderOpenPipelineIcon,38,13,1
GenieDeepResearch,GenieDeepResearchIcon,38,13,1
